,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1583586457673,0.6441,1.9535999,-2.5893,4.4180684,-6.5889869999999995,0.86865467,-1
1,2,1583586457683,0.6441,1.9535999,-2.5893,9.708517,0.43652043,-2.4691593999999997,-1
2,3,1583586457693,0.19759999,0.0088,-0.0506,9.656122,0.3986633,-2.4152515,-1
3,4,1583586457703,0.065799996,-0.2671,0.2421,9.408275,0.03601837,-1.8691723000000002,-1
4,5,1583586457714,-0.15869999,-0.391,0.5527,9.067924,-0.46982855,-1.3027426000000002,-1
5,6,1583586457724,-0.5898,-1.1223999,1.1092,9.201071,0.5869146,-1.0973008999999998,-1
6,7,1583586457734,-0.3347,0.1564,1.2106,9.243927000000001,0.4495832,-1.0671723999999998,-1
7,8,1583586457744,-0.2556,-0.057099998,1.2142998999999999,9.337319,0.42973047,-0.95554507,-1
8,9,1583586457754,-0.3215,-0.116299994,1.1567999,9.189147,0.5511644,-0.8248694999999999,-1
9,10,1583586457764,-0.34700000000000003,0.026999999,1.4165,9.332723,0.6943471999999999,-0.47172475,-1
10,11,1583586457774,-0.050499998,0.2103,1.923,9.672737,0.9282031999999999,-0.14121002,-1
11,12,1583586457785,0.0155,0.2154,1.4849,9.463455999999999,0.8632055000000001,-0.23976494,-1
12,13,1583586457795,-0.2715,0.1019,1.2224,9.30269,0.9562729,-0.25896642,-1
13,14,1583586457805,-0.38459998,0.19209999,1.0629,9.33685,1.1571943999999998,-0.5663628,-1
14,15,1583586457815,-0.3179,0.3414,0.5506,9.490644,1.2666283999999999,-1.1191553,-1
15,16,1583586457825,-0.19849999,0.3425,-0.071899995,9.649389,1.0988908000000002,-1.2881187,-1
16,17,1583586457835,-0.0069,0.0985,-0.2528,9.940773,0.8443679000000001,-1.4031267,-1
17,18,1583586457845,0.2853,-0.212,-0.4631,10.310975,0.45333729999999994,-1.2528571000000002,-1
18,19,1583586457856,0.5873,-0.58919996,-0.3243,10.531011,0.4101363,-0.12650004,-1
19,20,1583586457866,0.7999,-0.6206,0.65349996,10.423617,0.72296274,1.5048516,-1
20,21,1583586457876,0.6935,-0.3572,2.2203,9.979128999999999,1.0875326,2.7765844,-1
21,22,1583586457886,0.084699996,0.0354,3.6236,8.9139,1.5739961,3.9355695,-1
22,23,1583586457896,-1.0814999,0.41399997,4.503,7.278995500000001,1.9600276,4.7047596,-1
23,24,1583586457906,-2.4347,0.62369996,5.0116997,6.0458574,1.9345245,4.5624769999999994,-1
24,25,1583586457917,-3.6597998,0.5186,4.8107,5.232776599999999,1.8555637999999999,4.5965414,-1
25,26,1583586457926,-4.4646,0.3608,4.7894,5.228170400000001,1.6740066999999998,5.216639499999999,-1
26,27,1583586457936,-4.4677997000000005,0.125,5.3605,5.5412073,1.4765712,5.9524455000000005,-1
27,28,1583586457946,-4.1101,-0.14459999,6.2602997,5.1592080000000005,1.300425,7.6357603,-1
28,29,1583586457956,-4.5269,-0.31419998,7.6331,3.5646217000000004,1.2744528,8.648488,-1
29,30,1583586457966,-6.1087,-0.37359998,8.5739,1.2255726999999998,1.197934,8.545108,-1
30,31,1583586457976,-8.4442,-0.48799998,8.4313,-0.782473,1.129594,7.396417,-1
31,32,1583586457987,-10.4275,-0.607,7.2535996,-1.9199486000000001,1.5376903999999998,6.4395595000000005,-1
32,33,1583586457997,-11.5609,-0.21779999,6.2973,-2.420059,1.8011388,6.0681519999999995,-1
33,34,1583586458007,-12.714499,-0.253,5.7022,-3.2022638,1.3803914,5.7737803,-1
34,35,1583586458017,-13.2838,-0.7342,5.35,-3.7127172999999996,0.76868236,5.405255,-1
35,36,1583586458028,-13.2838,-0.7342,5.35,-3.8774767,-0.092904605,4.86226,-1
36,37,1583586458038,-13.2189,-2.6360997999999998,3.5872,-3.42096,-1.3967582,3.5059158999999998,-1
37,38,1583586458048,-12.592199,-3.3837,3.3104,-2.7384209999999998,-2.207837,3.5607622,-1
38,39,1583586458058,-12.592199,-3.3837,3.3104,-2.3300178,-2.4613159,3.9279752,-1
39,40,1583586458068,-11.700299000000001,-3.1733,2.1935,-1.9330976000000002,-2.1647701,1.6698791000000002,-1
40,41,1583586458078,-11.700299000000001,-3.1733,2.1935,-2.076309,-2.1288378,-0.9854726,-1
41,42,1583586458088,-11.9472,-3.1924999,-3.2372,-2.0703142,-2.7829243999999997,-3.5859970000000003,-1
42,43,1583586458099,-11.9472,-3.1924999,-3.2372,-0.7033973000000001,-3.5708370000000005,-4.555303599999999,-1
43,44,1583586458109,-8.8838,-4.5677,-5.2283998,1.3652122,-4.8116655,-5.567314,-1
44,45,1583586458119,-6.6650996,-6.0066,-6.4150996,3.626296,-6.566625,-6.855183599999999,-1
45,46,1583586458129,-3.9254,-6.875499700000001,-8.0826,6.478968,-7.600689999999999,-8.44638,-1
46,47,1583586458139,-1.3483,-7.258899700000001,-8.8928995,9.140152,-8.505142,-8.910041,-1
47,48,1583586458149,0.6658,-7.8782997,-8.9766,10.766716,-9.629145,-9.155159,-1
48,49,1583586458159,1.4506999,-8.808599000000001,-10.6369,11.312660000000001,-10.988189,-11.205879,-1
49,50,1583586458169,2.4786,-10.2771,-13.6248,12.880815,-13.063991,-14.016193,-1
50,51,1583586458179,5.2812,-11.3707,-15.770598999999999,16.273751999999998,-13.915742000000002,-15.664754,-1
51,52,1583586458191,8.9915,-11.387,-17.220299,19.5533,-14.356409,-16.333014000000002,-1
52,53,1583586458201,11.5364,-11.7364,-16.8766,21.129097,-15.16744,-14.648654999999998,-1
53,54,1583586458212,11.7992,-12.066199000000001,-15.0497,20.228542,-15.821747,-12.621839,-1
54,55,1583586458222,10.688399,-12.5875,-13.6468,19.262970000000003,-16.551203,-11.957897,-1
55,56,1583586458232,10.1396,-13.278398999999999,-13.7633,19.520674,-17.356249,-12.638244,-1
56,57,1583586458242,10.1396,-13.278398999999999,-13.7633,21.854042,-17.013514,-13.899576000000001,-1
57,58,1583586458252,14.268599499999999,-12.614599,-16.1997,23.966898,-16.735058,-13.58879,-1
58,59,1583586458262,15.9857,-12.3979,-15.4262,24.798134,-16.84412,-11.909152,-1
59,60,1583586458273,16.428798999999998,-12.365,-13.6207,24.468637,-16.97056,-10.135978,-1
60,61,1583586458283,15.474898999999999,-12.4654,-11.415299000000001,22.62779,-17.174557,-7.333938000000001,-1
61,62,1583586458293,13.6395,-12.4158,-9.1086,20.623587,-16.881037,-5.1483574,-1
62,63,1583586458303,11.853,-11.826099000000001,-7.1524997,19.38136,-15.989897000000001,-3.3208055,-1
63,64,1583586458313,11.0376,-10.685599,-5.1005,18.951544000000002,-14.588934,-0.6818687,-1
64,65,1583586458324,10.829599,-9.5756,-3.0059,19.132172,-13.92394,0.2755343,-1
65,66,1583586458334,11.145999999999999,-8.847799,-2.0298998,19.757288,-13.324411999999999,0.9910846,-1
66,67,1583586458344,11.7383995,-8.4138,-1.4745,20.431877,-12.791712,1.7677062,-1
67,68,1583586458354,12.3482,-7.8465996,-0.5376,20.431936,-12.505413,2.975648,-1
68,69,1583586458364,12.0589,-7.7559,0.8709,19.257379999999998,-12.765932000000001,5.1024650000000005,-1
69,70,1583586458374,10.6463995,-8.0711,3.2747998,17.462273,-12.729329,7.488804300000001,-1
70,71,1583586458385,8.6606,-8.0618,5.7081,15.289535500000001,-12.454474000000001,9.525886999999999,-1
71,72,1583586458395,6.403,-7.9125,7.746299700000001,13.612176999999999,-11.743311,10.6736,-1
72,73,1583586458406,4.7860000000000005,-7.2226,8.7667,12.842153999999999,-10.202661500000001,10.868785,-1
73,74,1583586458416,4.1099,-6.1099,8.9951,12.323253,-9.1916275,11.716419,-1
74,75,1583586458426,3.4710998999999996,-5.2964997,9.9717,11.420371000000001,-8.552653,12.436356,-1
75,76,1583586458436,2.2312999,-4.7254,11.0,10.143112,-7.521030400000001,13.25501,-1
76,77,1583586458447,1.0612,-4.0920997,11.816899000000001,9.059516,-6.5632253,13.975511,-1
77,78,1583586458457,-0.1496,-3.3808,12.6838,8.171401,-5.604328,14.318992999999999,-1
78,79,1583586458467,-1.1237,-2.6857,13.155999999999999,7.5056977,-4.626374,12.997297999999999,-1
79,80,1583586458477,-1.8898,-1.9655,11.9425,6.962396000000001,-3.6336226000000003,10.945908,-1
80,81,1583586458487,-2.5079,-1.2382,9.9598,6.379389,-2.9504897999999997,9.254796,-1
81,82,1583586458498,-3.1564,-0.8170000000000001,8.342199,5.917461,-2.629638,8.744755,-1
82,83,1583586458508,-3.6899998,-0.7609999999999999,7.9118996,5.675637200000001,-2.1700182,9.382407,-1
83,84,1583586458518,-4.5582,-0.0946,9.2012,4.84302,-1.1812608,9.917358,-1
84,85,1583586458528,-5.8322,0.3805,9.340099,3.4896637999999998,-0.49310976,9.781951,-1
85,86,1583586458538,-7.2240996,0.6885,8.6369,2.2139182,0.046083596,8.674969,-1
86,87,1583586458548,-8.135799,0.80439997,7.1492,1.5736704,0.30083624,7.224475,-1
87,88,1583586458558,-8.333799,0.7644,5.6593,1.5145242,0.48087063,5.7376084,-1
88,89,1583586458569,-8.0556,0.79289997,4.7485,1.8354621,0.6575436,4.963026999999999,-1
89,90,1583586458579,-7.5579996,0.5513,4.4196,2.3781319,0.50666094,4.5513678,-1
90,91,1583586458589,-6.9205,0.26729998,3.7686,2.9980001,0.39159563,3.8208587,-1
91,92,1583586458599,-6.6047997,0.15779999,3.1299,3.1578082999999997,0.4778348,3.1020713,-1
92,93,1583586458609,-6.8757,0.2067,2.6368,2.6942527000000003,0.6679151999999999,2.621019,-1
93,94,1583586458620,-7.5959997,0.3058,2.2651,1.8101793999999998,0.9998857,2.2068315,-1
94,95,1583586458630,-8.58,0.6186,1.8018999,1.0171719000000001,1.3475716,1.7656375,-1
95,96,1583586458640,-9.3970995,0.9306,1.2092999,0.20791247,1.7760189,1.0735313999999998,-1
96,97,1583586458650,-9.6565,1.0568,0.6265,0.18900786,1.8596244,0.090309285,-1
97,98,1583586458660,-9.1633,0.9179999999999999,-0.958,0.8400774999999999,1.6875099999999998,-1.4288213,-1
98,99,1583586458670,-7.6527,0.5311,-2.7034,2.5481105,1.2808021,-3.1565347000000004,-1
99,100,1583586458680,-5.3101997,0.0645,-3.8040998,5.372301,0.5889161,-4.3169565,-1
100,101,1583586458691,-3.2617998,-0.5794,-4.3129,7.113135000000001,0.0027676971999999996,-4.812355,-1
101,102,1583586458701,-2.1238,-0.835,-4.5938,7.807377000000001,-0.10785399400000001,-4.979614,-1
102,103,1583586458711,-2.0923,-0.7137,-4.3703,7.4101977,0.13598108,-4.655056,-1
103,104,1583586458721,-3.0007,-0.4396,-3.9706,6.046671400000001,0.42249042,-4.2212267,-1
104,105,1583586458731,-4.1632,-0.2556,-3.5203998,5.159696,0.68139935,-3.9080842000000002,-1
105,106,1583586458742,-4.7374997,-0.075899996,-3.392,5.1645994,0.6315138000000001,-4.3571024000000005,-1
106,107,1583586458752,-4.3813,-0.2692,-4.1138997,5.735119,0.41779777,-5.1149726,-1
107,108,1583586458762,-3.3599,-0.5482,-4.8747997000000005,7.246567999999999,0.15343961,-5.757969,-1
108,109,1583586458772,-1.9079,-0.6245,-5.1822,8.437559,0.108304106,-6.0539117,-1
109,110,1583586458782,-0.4858,-0.6935,-5.4934998,9.981226,-0.05498045,-6.167789,-1
110,111,1583586458792,0.5536,-0.7175,-5.1572,10.540137,0.014144943,-5.583469999999999,-1
111,112,1583586458803,0.877,-0.53749996,-4.1496,10.533567999999999,0.17286135,-4.570407,-1
112,113,1583586458813,0.4353,-0.48009998,-3.2361,9.769502000000001,0.21622515,-3.5632040000000003,-1
113,114,1583586458823,-0.23179999,-0.39479998,-2.5463998,9.283594,0.36041355,-3.0334537,-1
114,115,1583586458833,-0.5554,-0.2529,-2.0400999,9.187375999999999,0.46516466,-2.4487991,-1
115,116,1583586458843,-0.5452,-0.22379999,-1.4869999999999999,9.401263,0.4197227,-2.2051842,-1
116,117,1583586458853,-0.1428,-0.2452,-1.4856,9.99944,0.39860585,-2.5764482,-1
117,118,1583586458864,0.4552,-0.2188,-2.033,10.626797999999999,0.5050329000000001,-3.179768,-1
118,119,1583586458874,0.94479996,-0.101399995,-2.3992999,10.972827,0.54028517,-3.045166,-1
119,120,1583586458884,1.2478,-0.0744,-2.1139,11.012408,0.48483542,-2.3720026,-1
120,121,1583586458894,1.2174,-0.1325,-1.4315,10.843876,0.40122990000000003,-2.051668,-1
121,122,1583586458904,0.9424,-0.21769999,-1.18,10.537408000000001,0.3613808,-1.921002,-1
122,123,1583586458914,0.66789997,-0.20979999,-1.0823,10.279055,0.37262395,-1.7887752000000001,-1
123,124,1583586458924,0.49159998,-0.23199999999999998,-0.9148,10.252661,0.34679532,-1.2953013999999998,-1
124,125,1583586458935,0.4917,-0.24219999,-0.3254,10.271738000000001,0.33872208,-0.5594866,d
125,126,1583586458945,0.51129997,-0.22999999,0.3622,10.276057000000002,0.40076062,-0.29013896,-1
126,127,1583586458955,0.4822,-0.1969,0.5262,10.162811,0.37902126,-0.2326781,-1
127,128,1583586458965,0.3547,-0.20089999,0.6084,9.988935000000001,0.40375817,-0.3662937,-1
128,129,1583586458975,0.188,-0.1744,0.39839998,9.963212,0.34839466,-0.7962253,-1
129,130,1583586458986,0.2368,-0.2439,-0.0297,10.223998,0.33162567,-0.9900981,-1
130,131,1583586458996,0.648,-0.2038,-0.1681,10.711275,0.48255616,-1.0916601000000001,-1
131,132,1583586459006,0.99069995,-0.0383,-0.2863,10.778839999999999,0.48275727,-1.2202383999999997,-1
132,133,1583586459016,1.0006,-0.0755,-0.38169998,10.609397999999999,0.45673707,-1.0438623,-1
133,134,1583586459027,0.7956,-0.0808,-0.1196,10.176344,0.5160367,-0.58878213,-1
134,135,1583586459037,0.41459998,-0.0519,0.2626,9.744036999999999,0.42303628,-0.4195982,-1
135,136,1583586459047,-0.1038,-0.1516,0.47599998,9.401283,0.56992537,-0.39808872,-1
136,137,1583586459057,-0.3577,-0.0117,0.4633,9.477898,0.69391626,-0.8325501000000001,-1
137,138,1583586459067,-0.2886,0.1161,0.0471,9.707013,0.68861073,-1.1390941,-1
138,139,1583586459077,0.015199998999999999,0.113299996,-0.33139998,10.143092999999999,0.65994734,-1.3992194,-1
139,140,1583586459087,0.3876,0.094,-0.5234,10.285223,0.65645176,-1.5252596999999999,-1
140,141,1583586459097,0.5248,0.1019,-0.6566,10.288775,0.65217096,-1.2518611000000002,-1
141,142,1583586459107,0.5252,0.1041,-0.35689998,10.188392,0.7175135,-0.8187595,-1
142,143,1583586459118,0.1643,0.37379998,0.1845,9.845532,0.98927456,-0.72590286,-1
143,144,1583586459128,0.1643,0.37379998,0.1845,9.466453999999999,1.1734461999999999,-0.7467802,-1
144,145,1583586459137,-0.2951,0.5951,0.16129999,9.043647,1.2925528,-0.6531765,-1
145,146,1583586459147,-0.81329995,0.6996,0.2784,8.671827,1.2313476,-0.72984844,-1
146,147,1583586459157,-1.0867,0.6346,0.188,8.847743,1.1957216999999998,-0.83887076,-1
147,148,1583586459167,-0.9101,0.5998,0.093899995,9.065146,1.0578636000000001,-0.728115,-1
148,149,1583586459178,-0.37379998,0.2801,0.5527,9.449378,0.85019064,-0.30318254,-1
149,150,1583586459188,-0.37379998,0.2801,0.5527,9.611494,0.96204776,-0.26389850000000004,-1
150,151,1583586459198,-0.1506,0.41779998,0.63769996,9.699774,1.0803978,-0.46160209999999996,-1
151,152,1583586459208,-0.0639,0.5516,0.43339998,9.662759,1.1790103,-0.7524689,-1
152,153,1583586459218,-0.13159999,0.7908,-0.0579,9.628982,1.3177016000000001,-1.0318531,-1
153,154,1583586459228,-0.2175,0.7606,-0.2687,9.484103,1.262702,-1.2290968999999998,-1
154,155,1583586459239,-0.64559996,0.7459,-0.4423,8.988177,1.2587085,-1.4849317,-1
155,156,1583586459249,-0.64559996,0.7459,-0.4423,8.600873,1.0759256000000001,-1.6883240000000002,-1
156,157,1583586459259,-1.1583999,0.28,-0.49379998,8.68352,0.7829614,-1.4310048,-1
157,158,1583586459270,-0.51989996,0.312,0.119899996,9.374065,0.8352315999999999,-0.86035156,-1
158,159,1583586459280,0.1266,0.3335,0.22219999,10.025835,0.8019714,-0.9194405000000001,-1
159,160,1583586459290,0.4001,0.3181,-0.1593,10.1511755,0.7564528,-1.4036056000000001,-1
160,161,1583586459300,0.3902,0.2311,-0.789,10.123422,0.6050531,-1.9842378,-1
161,162,1583586459310,0.4694,-0.0369,-1.04,10.312459,0.30417854,-2.1473882,-1
162,163,1583586459320,0.4694,-0.0369,-1.04,10.473512,0.24281037,-2.0816243,-1
163,164,1583586459331,0.6393,-0.30699998,-0.6042,10.24274,0.02333868,-1.5353729,-1
164,165,1583586459341,0.1699,-0.4675,-0.1822,9.724423,-0.11713392,-1.2286181,-1
165,166,1583586459351,-0.1239,-0.46249998,-0.1422,9.606169,0.038182728,-1.363766,-1
166,167,1583586459361,-0.0853,-0.2289,-0.39339998,9.668475,0.28196037,-1.5257385,-1
167,168,1583586459371,-0.10569999,-0.0609,-0.243,9.502011,0.42890686,-1.0282905,-1
168,169,1583586459381,-0.36139998,0.0117,0.3114,9.148839,0.38827249999999996,-0.5381781999999999,-1
169,170,1583586459392,-0.7055,-0.0871,0.6793,9.027069000000001,0.25313416,-0.3846333,-1
170,171,1583586459402,-0.6283,-0.2262,0.6849,9.354328,0.102998555,-0.6285929,-1
171,172,1583586459412,-0.218,-0.2778,0.2086,9.716619,0.06087976,-1.3588531000000001,-1
172,173,1583586459422,0.0642,-0.32529998,-0.536,9.932824,-0.13909353,-1.9234537,-1
173,174,1583586459432,0.22899999,-0.4822,-0.9956,10.085142999999999,-0.24437138,-2.1554806,-1
174,175,1583586459442,0.40399998,-0.5463,-0.9736,10.308389,-0.37641640000000004,-1.5336201999999999,-1
175,176,1583586459452,0.66719997,-0.71559995,-0.0033,10.586758,-0.58685714,-0.37821683,-1
176,177,1583586459463,0.85179996,-0.82379997,1.0123,10.5274105,-0.500551,0.14884272,-1
177,178,1583586459473,0.6246,-0.6066,1.0754,10.101559,-0.24093330000000002,-0.21539196,-1
178,179,1583586459483,0.1722,-0.3557,0.52239996,9.679748,0.078280814,-1.060957,-1
179,180,1583586459493,-0.2015,-0.0947,-0.3627,9.474411,0.28691155,-1.6289669,-1
180,181,1583586459503,-0.2807,0.0826,-0.66389996,9.516971,0.45832682,-1.6798102,-1
181,182,1583586459513,-0.23199999999999998,0.21579999,-0.6261,9.698738,0.36121798,-1.2623763000000001,-1
182,183,1583586459524,0.07200000000000001,0.059699997000000005,0.0629,10.100878,0.19355685,-0.46094128,-1
183,184,1583586459534,0.4842,-0.1515,0.71709996,10.520601,-0.16785268,-0.38310102,-1
184,185,1583586459544,0.8178,-0.42049998,0.5361,10.771733,-0.41863096,-0.75664437,-1
185,186,1583586459554,1.0526999,-0.62259996,0.22,10.928314,-0.42341940000000006,-0.8808077,-1
186,187,1583586459564,1.1693,-0.575,0.0734,10.868996000000001,-0.29021555,-1.1233882,-1
187,188,1583586459574,1.0009,-0.38639998,-0.2565,10.528847,-0.036066253,-1.5063838,d
188,189,1583586459585,0.6857,-0.17469999,-0.654,10.2095175,0.26795906,-1.9816711,-1
189,190,1583586459596,0.3908,0.1217,-1.0841,9.911228,0.40508935,-1.9748811999999998,-1
190,191,1583586459607,0.0673,0.2015,-0.95669997,9.554675,0.43957543,-1.1568303,-1
191,192,1583586459617,-0.21599999,0.2155,-0.1929,9.477936,0.118532136,0.10260591,-1
192,193,1583586459627,-0.2931,-0.09559999400000001,1.0564,10.018796,-0.43751642,0.6884766,-1
193,194,1583586459637,0.2566,-0.60899997,1.655,11.075854,-0.9864110999999999,0.22283314,-1
194,195,1583586459648,1.3047999,-1.1319,1.1888,12.415947000000001,-1.1879838,-1.191326,-1
195,196,1583586459658,3.8572,-1.173,-1.9663999,13.832442000000002,-1.0289608000000001,-3.1109970000000002,-1
196,197,1583586459668,4.4804997,-0.89379996,-2.6028,14.297235,-0.70084983,-3.3897586000000004,-1
197,198,1583586459678,4.2815,-0.589,-1.8152,13.820884,-0.4579054,-2.13535,-1
198,199,1583586459688,3.2910000000000004,-0.5132,0.1249,12.779205000000001,-0.29439107,-0.3035752,-1
199,200,1583586459698,3.2910000000000004,-0.5132,0.1249,11.582085000000001,-0.13143210000000002,0.9021639000000001,-1
200,201,1583586459709,0.8161,-0.556,2.0146,10.501792,-0.2780243,1.0447530999999999,-1
201,202,1583586459719,1.1029,-0.7992,1.1297,11.095545,-0.44535983,0.08674672,-1
202,203,1583586459729,2.4856,-0.8935,0.1809,12.58651,-0.57099795,-0.8554674000000001,-1
203,204,1583586459739,4.062599700000001,-1.3219,-0.7714,14.115725,-1.0636671999999998,-1.7441664000000001,-1
204,205,1583586459749,5.1878,-1.9373,-1.1146,15.083078,-1.6553798,-1.9035628,-1
205,206,1583586459760,5.4804997,-2.2676,-1.0440999,15.240923,-1.8798506000000001,-1.7785662,-1
206,207,1583586459770,5.0597,-2.1876,-0.66819996,14.634998000000001,-1.6935625,-1.2772491000000001,-1
207,208,1583586459780,3.9160998,-1.9627999,0.2316,13.457396,-1.35802,-0.35801935,-1
208,209,1583586459790,2.6578,-1.5942999,0.6723,11.850743,-0.81614506,-0.14545254,-1
209,210,1583586459800,1.3134999,-1.3441,0.5674,10.571280999999999,-0.46174574,-0.23602039999999996,-1
210,211,1583586459810,0.1276,-1.0540999,0.51519996,9.487062,-0.1009587,-0.30596940000000006,-1
211,212,1583586459820,-0.6558,-1.0188,0.5027,9.008299000000001,-0.08486009,-0.23502441,-1
212,213,1583586459830,-0.8023,-1.1065,0.96919996,8.937441,-0.065218054,0.26385063,-1
213,214,1583586459840,-0.7923,-1.1736,1.3196,8.850472,-0.09108501,0.51248366,-1
214,215,1583586459850,-1.0366,-1.3059,1.2039,8.582888,-0.12347377,0.3177776,-1
215,216,1583586459860,-1.4168999,-1.5090000000000001,0.87729996,8.12524,-0.29876763,-0.22526565,-1
216,217,1583586459871,-1.7758,-1.6391,0.2589,7.760086500000001,-0.18818425,-0.88760716,-1
217,218,1583586459881,-2.2114,-1.4053999,-0.1461,7.3219,0.13025415,-1.1524538,-1
218,219,1583586459891,-3.0958997999999998,-1.2406,-0.2209,6.0770106,0.41146750000000004,-0.98555875,-1
219,220,1583586459901,-4.4186997,-1.0852,0.43179998,4.545621400000001,0.6801927,-0.2532778,-1
220,221,1583586459912,-6.0917997,-1.0316,1.1891,2.8862581,0.76259154,0.43943180000000004,-1
221,222,1583586459922,-7.5779,-1.0108,1.7248,1.4913578,1.0050858,0.67232054,-1
222,223,1583586459932,-8.6733,-0.7108,1.4276999,0.73926246,1.3460106,0.20189823,-1
223,224,1583586459942,-9.2720995,-0.3328,0.7044,-0.0023942017,2.0064273,-0.8574497999999999,-1
224,225,1583586459952,-9.6876,0.13,0.0683,-0.50279194,2.6063855,-1.353921,-1
225,226,1583586459962,-10.2518,0.68189996,-0.3302,-1.1027118,3.0118484,-1.7027561999999998,-1
226,227,1583586459973,-11.2969,1.023,-0.6371,-2.747672,3.4523623,-1.9051142,-1
227,228,1583586459983,-12.832299,1.406,-0.5979,-4.30851,3.9451847,-1.6883432,-1
228,229,1583586459993,-14.378599,1.8749,-0.3022,-5.7491007000000005,4.354622,-1.4224336000000002,-1
229,230,1583586460003,-15.654698999999999,2.1348999,0.0975,-6.8502135,4.3671293,-0.85145473,-1
230,231,1583586460013,-16.604399,1.9808999,0.87469995,-7.4732994999999995,3.9069924,0.43672156,-1
231,232,1583586460024,-16.9076,1.6279999,2.05,-7.324007000000001,3.6949525000000003,1.2175857,-1
232,233,1583586460034,-16.624699,1.505,2.7465,-6.737934599999999,3.4706826,1.2485473999999999,-1
233,234,1583586460044,-16.0982,1.4365,2.5209,-6.0755552999999995,3.2861567000000003,0.4883022,-1
234,235,1583586460054,-15.4421,1.4487,1.5259999,-5.1271544,3.1138508,-0.9835189000000001,-1
235,236,1583586460064,-14.5047,1.4559,0.06359999599999999,-4.0936637000000005,2.6964936,-1.9478555,-1
236,237,1583586460074,-13.5063,1.2314,-0.72959995,-3.2246354,2.005575,-1.7177153000000003,-1
237,238,1583586460084,-12.7766,0.6967,-0.36569998,-2.8744786,0.80125314,-1.2300928999999998,-1
238,239,1583586460095,-12.5309,-0.3209,0.0704,-2.7146416,-0.11767023,-0.6413396,-1
239,240,1583586460105,-12.2925,-0.92179996,1.0386,-2.427031,-1.0695378999999998,1.2913846000000002,-1
240,241,1583586460115,-12.1672,-1.5762999,2.8513,-2.5395105,-2.4436178,3.6521246,-1
241,242,1583586460125,-12.2434,-2.7402,5.1973,-2.2332156000000003,-4.216974700000001,5.151259,-1
242,243,1583586460136,-11.7885,-4.2321,6.2608,-0.96359915,-6.3036650000000005,4.026147,-1
243,244,1583586460146,-10.2393,-5.8493,4.5599,1.6175226999999999,-7.7983074000000006,1.4106541000000001,-1
244,245,1583586460156,-7.442199700000001,-6.6747,1.8684,5.485317,-9.046874,-0.5982823,-1
245,246,1583586460166,-4.1419997,-7.3013,0.2732,8.303293,-9.662011999999999,-0.34409466,-1
246,247,1583586460176,-1.2271999,-7.4382,0.4276,9.514347,-10.02866,1.2450709999999998,-1
247,248,1583586460186,0.09219999599999999,-7.3451996,1.9043,8.52557,-10.95195,2.3914626,-1
248,249,1583586460197,-0.7565,-7.8215,2.9557,6.780494,-12.058558999999999,2.9959027999999996,-1
249,250,1583586460207,-2.3504,-8.4927,3.4297998,6.4521246,-12.843255000000001,4.022431399999999,-1
250,251,1583586460217,-2.5042,-8.8319,4.2988,7.5868993,-13.600445,4.3166785,-1
251,252,1583586460227,-1.1501,-9.1263,4.3664,9.21872,-14.388998999999998,3.7713656,-1
252,253,1583586460238,0.73179996,-9.4485,3.5760998999999996,11.291879,-15.291614000000001,2.3909743,-1
253,254,1583586460249,5.0627,-10.3841,1.2911,13.180674,-16.444679999999998,1.9487173999999998,-1
254,255,1583586460259,6.1907,-11.4143,2.1151,13.822694,-17.955460000000002,3.1554046000000002,-1
255,256,1583586460269,6.8019,-12.3074,3.7303998,14.133509,-19.028194,4.892867,-1
256,257,1583586460279,6.8019,-12.3074,3.7303998,14.875558999999999,-19.157387,5.3888115999999995,-1
257,258,1583586460289,9.4354,-11.818399000000001,2.7767,16.091745,-19.06793,3.5564910000000003,-1
258,259,1583586460299,10.3932,-11.6283,0.0846,16.686207,-19.111849,1.2758222,-1
259,260,1583586460309,11.5515995,-11.064899,-0.99189997,17.490236,-18.699146,0.78847766,-1
260,261,1583586460320,12.3763,-10.437099,-0.36749998,17.874239000000003,-18.285458,1.8206946,-1
261,262,1583586460330,12.323999,-9.801,1.6824,17.123243,-17.60716,4.565283,-1
262,263,1583586460340,11.2465,-8.7855,3.4308,15.843687,-16.871662,5.324532,-1
263,264,1583586460350,9.4635,-8.1199,2.349,13.579779,-16.47275,3.4727607000000003,-1
264,265,1583586460360,8.3064995,-8.0316,0.56479996,12.855235,-16.529617000000002,2.290753,-1
265,266,1583586460370,8.6101,-8.6286,-0.19669999,13.439497,-17.43947,1.8626028000000001,-1
266,267,1583586460381,10.0448,-8.8601,-0.3342,14.89451,-17.194284,1.4267334999999999,-1
267,268,1583586460391,11.4484,-8.1335,-1.5769,15.694517999999999,-16.531723,0.3399479,-1
268,269,1583586460401,11.4409,-7.4525,-1.7220999,14.592209,-15.610253,1.430277,-1
269,270,1583586460412,9.9407,-6.532099700000001,-0.109,13.012889,-14.865924,2.8505461,-1
270,271,1583586460422,7.6965,-5.4009,1.5015,10.096579,-13.29755,4.264131,-1
271,272,1583586460432,5.4670997,-4.204,2.1049,8.487559,-12.480141,4.1894984,-1
272,273,1583586460442,3.5802,-3.1032999,1.6391,7.0725293,-11.405814,3.5980157999999998,-1
